Example URL,Group population,Group INP
https://www.castlery.com/au/products/bradley-square-coffee-table,993,234ms
https://www.castlery.com/sg/products/sandy-dinner-plates-set-of-4,941,312ms
https://www.castlery.com/us/products/dawson-pit-sectional-sofa,904,212ms
https://www.castlery.com/au/help-center?a=Do-you-have-a-showroom-Can-I-buy-items-from-the-showroom---id--6_tt3NDUSheG83iAQV8OYg,373,245ms
https://www.castlery.com/uk/products/dawson-pit-sectional-sofa,354,206ms
https://www.castlery.com/sg,114,338ms
https://www.castlery.com/au/products/nathan-velvet-sofa-bed?material=Deep_teal,85,229ms
https://www.castlery.com/us,77,276ms
https://www.castlery.com/au/collections/callie-collection,76,225ms
https://www.castlery.com/sg/collections/mori-collection,75,349ms
https://www.castlery.com/sg/showroom,74,386ms
https://www.castlery.com/au/showrooms,71,310ms
https://www.castlery.com/us/collections/vincent-collection,70,238ms
https://www.castlery.com/sg/products/lucas-performance-boucle-sofa?material=white_quartz,68,238ms
https://www.castlery.com/us/products/nathan-velvet-sofa-bed?material=midnight_blue,53,203ms
https://www.castlery.com/,51,231ms
https://www.castlery.com/ca,43,254ms
https://www.castlery.com/us/sofas/all-sofas,37,338ms
https://www.castlery.com/au/products/strato-tv-unit-walnut-200cm?length=2_0m,34,250ms
https://www.castlery.com/au/sofas/all-sofas,34,377ms
https://www.castlery.com/sg/sofas/all-sofas,32,338ms
https://www.castlery.com/uk/products/jonathan-leather-extended-sofa,28,254ms
https://www.castlery.com/uk/collections/seb-collection,27,286ms
https://www.castlery.com/us/tables/dining-tables,26,287ms
https://www.castlery.com/au,25,372ms
https://www.castlery.com/au/tables/dining-tables,24,314ms
https://www.castlery.com/us/chairs/benches,24,364ms
https://www.castlery.com/au/products/pebble-sofa-with-ottoman?leg_color=brass_cap&amp;material=forest_green,23,235ms
https://www.castlery.com/us/shop-the-look/by-collection,23,212ms
https://www.castlery.com/au/chairs/armchairs,21,374ms
https://www.castlery.com/uk/sofas/all-sofas,19,415ms
https://www.castlery.com/uk/tables/small-coffee-tables,19,325ms
https://www.castlery.com/au/beds/beds,17,295ms
https://www.castlery.com/us/products/owen-chaise-sectional-sofa-with-vincent-coffee-table?material=pearl_beige&amp;leg_color=walnut&amp;orientation=left_facing,17,221ms
https://www.castlery.com/au/products/tana-chaise-sectional-sofa?orientation=left_facing&amp;material=light_grey,16,228ms
https://www.castlery.com/sg/products/tana-chaise-sectional-sofa?material=light_grey&amp;orientation=left_facing,16,253ms
https://www.castlery.com/au/accessories/mirrors,15,343ms
https://www.castlery.com/ca/sofas/all-sofas,15,362ms
https://www.castlery.com/us/beds/queen-sized-beds,15,279ms
https://www.castlery.com/uk/products/mori-performance-fabric-3-seater-sofa,14,201ms
https://www.castlery.com/uk/chairs/wooden-dining-chairs,13,351ms
https://www.castlery.com/us/sale/furniture-clearance,13,431ms
https://www.castlery.com/uk/furniture-sets/all-furniture-sets,11,487ms
https://www.castlery.com/us/products/philippe-accent-chair?quantity=single&amp;material=pearl_beige,11,229ms
https://www.castlery.com/au/storage/tv-units,10,271ms
https://www.castlery.com/sg/storage/tv-consoles,10,340ms
https://www.castlery.com/uk/beds/beds,10,293ms
https://www.castlery.com/us/furniture-sets/outdoor-sets,9,220ms
https://www.castlery.com/us/outdoor/all-outdoor,9,303ms
https://www.castlery.com/us/products/elliot-leather-banquette-bench?leg_color=fawn&amp;material=caramel&amp;utm_source=pinterest&amp;utm_medium=cpc&amp;utm_campaign=626746757295&amp;utm_term=2680072734181&amp;utm_content=as-000566-le4016-na&amp;pp=0,9,221ms
https://www.castlery.com/us/products/jonathan-chaise-sectional-sofa-with-ottoman?material=zenith_blue&amp;orientation=left_facing,9,238ms
https://www.castlery.com/au/products/jacques-bed?material=sand_grey&amp;bed_frame_size=queen,8,222ms
https://www.castlery.com/sg/outdoor/all-outdoor,8,337ms
https://www.castlery.com/uk/storage/tv-stands,8,229ms
https://www.castlery.com/us/accessories/mirrors,8,204ms
https://www.castlery.com/us/storage/tv-stands,7,228ms
https://www.castlery.com/au/products/chelsea-bed?material=sand_grey&amp;bed_frame_size=king,6,263ms
https://www.castlery.com/us/furniture-sets/dining-room-sets,6,312ms
https://www.castlery.com/au/products/amber-boucle-swivel-chair?material=snow_boucle&amp;quantity=single,3,211ms
